scenario,scenario_type,trial_id,planner,success,collision,steps,path_length,planning_cpu_time,colregs_violations,colregs_corrections,colregs_encounters,num_obstacles
DEU_Berlin_1_T-5,channel,0,APF_COLREGs,True,False,145,19.40775,0.009308099746704102,0,0,0,36
DEU_Berlin_1_T-5,channel,1,APF_COLREGs,True,False,145,19.40775,0.007607460021972656,0,0,0,36
DEU_Berlin_1_T-5,channel,2,APF_COLREGs,True,False,145,19.40775,0.007597923278808594,0,0,0,36
DEU_Berlin_1_T-5,channel,3,APF_COLREGs,True,False,145,19.40775,0.007501363754272461,0,0,0,36
DEU_Berlin_1_T-5,channel,4,APF_COLREGs,True,False,145,19.40775,0.007484912872314453,0,0,0,36
DEU_Berlin_1_T-5,channel,5,APF_COLREGs,True,False,145,19.40775,0.008317708969116211,0,0,0,36
DEU_Berlin_1_T-5,channel,6,APF_COLREGs,True,False,145,19.40775,0.007891416549682617,0,0,0,36
DEU_Berlin_1_T-5,channel,7,APF_COLREGs,True,False,145,19.40775,0.007330894470214844,0,0,0,36
DEU_Berlin_1_T-5,channel,8,APF_COLREGs,True,False,145,19.40775,0.006746053695678711,0,0,0,36
DEU_Berlin_1_T-5,channel,9,APF_COLREGs,True,False,145,19.40775,0.006887912750244141,0,0,0,36
