mode,scenario,difficulty,trial_id,success,collision,steps,path_length,path_smoothness,min_clearance,planning_cpu_time,num_obstacles
Online_APF,dynamic,extreme,0,False,True,18,1.2240000000000006,0.2590169931142116,1.0224284199956628,0.0006053447723388672,8
Online_APF,dynamic,extreme,1,False,True,18,1.2240000000000006,0.2590169931142116,1.0224284199956628,0.0005903244018554688,8
Online_APF,dynamic,extreme,2,False,True,18,1.2240000000000006,0.2590169931142116,1.0224284199956628,0.0005154609680175781,8
Online_APF,dynamic,extreme,3,False,True,18,1.2240000000000006,0.2590169931142116,1.0224284199956628,0.000331878662109375,8
Online_APF,dynamic,extreme,4,False,True,18,1.2240000000000006,0.2590169931142116,1.0224284199956628,0.00040531158447265625,8
