mode,scenario,trial_id,success,collision,steps,path_length,path_smoothness,min_clearance,heading_stability,planning_cpu_time,execution_cpu_time,total_cpu_time,avg_planning_time_per_step,max_speed,avg_speed,ga_generations
Offline_AEGAfi,channel,0,True,False,87,11.520000000000008,0.6525820664473674,1.6095756781925707,0.003580189800354908,20.033262491226196,0.0010838508605957031,20.034346342086792,0.23026738495662294,1.5,1.324137931034483,151
Offline_AEGAfi,channel,1,True,False,87,11.52,0.7619183920660243,1.4075070800752099,0.004943004674932766,20.015084266662598,0.00109100341796875,20.016175270080566,0.23005843984669652,1.5,1.3241379310344827,148
Offline_AEGAfi,channel,2,True,False,87,11.519999999999998,0.7086774946439955,1.5494719549598013,0.00426778987216304,20.03658676147461,0.001987457275390625,20.03857421875,0.23030559495947828,1.5,1.3241379310344827,142
Offline_AEGAfi,channel,3,True,False,87,11.503999999999998,0.6730428062230885,1.5711990459271192,0.0036821686650209224,20.03260588645935,0.0010235309600830078,20.033629417419434,0.23025983777539483,1.5,1.3222988505747126,154
Offline_AEGAfi,channel,4,True,False,87,11.52,0.6543549026742422,1.700451788253391,0.0031215172908105548,20.02006697654724,0.0010399818420410156,20.021106958389282,0.23011571237410622,1.5,1.3241379310344827,145
Offline_AEGAfi,channel,5,True,False,87,11.507999999999997,0.6855585388829686,1.5825117214516953,0.0041523292957687755,20.075766563415527,0.001718759536743164,20.07748532295227,0.2307559375105233,1.5,1.3227586206896553,153
Offline_AEGAfi,channel,6,True,False,87,11.520000000000007,0.8484046603430955,1.433959898972941,0.006350441495086104,20.039143800735474,0.001997232437133789,20.041141033172607,0.23033498621535028,1.5,1.3241379310344827,148
Offline_AEGAfi,channel,7,True,False,87,11.520000000000005,0.6508794693882565,1.6438385322130615,0.003379859532084286,20.134071826934814,0.0011208057403564453,20.13519263267517,0.23142611295327373,1.5,1.3241379310344827,148
Offline_AEGAfi,channel,8,True,False,87,11.520000000000001,0.9054862334138383,1.232611549686326,0.007060256223860686,20.00187587738037,0.0010731220245361328,20.002948999404907,0.22990661928023415,1.5,1.324137931034483,144
Offline_AEGAfi,channel,9,True,False,87,11.520000000000001,0.6205186265055262,1.6982208336816622,0.002401737884170432,20.04523205757141,0.0011830329895019531,20.046415090560913,0.23040496617898173,1.5,1.3241379310344827,151
