mode,scenario,trial_id,success,collision,steps,path_length,path_smoothness,min_clearance,heading_stability,planning_cpu_time,execution_cpu_time,total_cpu_time,avg_planning_time_per_step,max_speed,avg_speed
Hybrid,dynamic,0,True,False,92,11.419877286861974,1.2116016337565987,0.8512457582014347,0.00860057589225337,4.255127906799316,0.0017931461334228516,4.256921052932739,0.04627088101013847,1.5,1.2412910094415186
Hybrid,dynamic,1,True,False,102,11.41367386898568,1.3093244730184614,0.8429444926791044,0.008215574823205079,4.506685256958008,0.003355264663696289,4.510040521621704,0.04421608354531083,1.5,1.1189876342142833
Hybrid,dynamic,2,True,False,93,11.430628288818179,1.0401206324430867,0.9230645551515059,0.007074466459204636,4.3085973262786865,0.0026099681854248047,4.311207294464111,0.0463570676824098,1.5,1.2290998160019546
Hybrid,dynamic,3,True,False,98,11.426403449574101,1.1375615725020705,0.9009695217773234,0.007407855142098798,4.4582839012146,0.004442930221557617,4.462726831436157,0.045538028892205686,1.5,1.1659595356708268
Hybrid,dynamic,4,True,False,106,11.407927443295847,1.011018829974028,0.8195937391844718,0.004547953757370663,4.1729736328125,0.002431154251098633,4.175404787063599,0.0393906111987132,1.5,1.07621957012225
Hybrid,dynamic,5,True,False,99,11.474420162605812,1.8467095476223945,0.5887775672125409,0.015459441095919573,4.584540605545044,0.0018355846405029297,4.586376190185547,0.04632703222409643,1.5,1.1590323396571536
Hybrid,dynamic,6,True,False,98,11.429639902593314,1.4431148525304536,0.9171074564908342,0.01099399498030503,4.823543071746826,0.00173187255859375,4.82527494430542,0.04923749943168796,1.5,1.1662897859789096
Hybrid,dynamic,7,True,False,93,11.411581142647696,1.204965782805862,0.8486732033890504,0.008385443910363886,4.6268463134765625,0.0061757564544677734,4.63302206993103,0.04981744161216162,1.5,1.2270517357685709
Hybrid,dynamic,8,True,False,105,11.435540519338335,1.4146545741556955,0.7714017344021681,0.009126469625885389,4.333632230758667,0.004138946533203125,4.33777117729187,0.04131210645039876,1.5,1.089099097079841
Hybrid,dynamic,9,True,False,93,11.428000000000003,1.3905002318819173,0.9054592899142601,0.011405552212069193,4.853971004486084,0.0045278072357177734,4.858498811721802,0.05224192270668604,1.5,1.2288172043010752
