scenario,mode,trials,success_rate,collision_rate,avg_path_length,std_path_length,avg_path_smoothness,avg_min_clearance,avg_planning_cpu_time,avg_execution_cpu_time,avg_total_cpu_time,avg_steps
channel,Hybrid,10,1.0,0.0,11.416910364808137,0.014282688443118781,0.7756793102680588,1.5685175209873257,20.055396723747254,0.0035764217376708985,20.058973145484924,99.6
channel,Offline_AEGAfi,10,1.0,0.0,11.517199999999999,0.005670978751505048,0.7161423190588403,1.5429348083413776,20.04336965084076,0.0013318777084350586,20.044701528549194,87.0
channel,Online_APF,10,1.0,0.0,11.401500000000002,1.7763568394002505e-15,0.5508788917024436,1.7500025599983615,0.003448486328125,0.0,0.003448486328125,92.0
clutter,Hybrid,10,1.0,0.0,12.948429605069375,0.0,4.137888621767386,0.4087673539554075,11.265915870666504,0.0031749486923217775,11.269090819358826,109.0
clutter,Offline_AEGAfi,10,1.0,0.0,12.270000000000007,1.7763568394002505e-15,1.8415118240485338,0.39215971065233424,11.891760444641113,0.0012790918350219726,11.893039536476135,92.0
clutter,Online_APF,10,1.0,0.0,11.660599470112635,1.7763568394002505e-15,2.8109703838941553,0.522134346701909,0.003011322021484375,0.0,0.003011322021484375,98.0
dynamic,Hybrid,10,1.0,0.0,11.427769206472092,0.017796087591280346,1.3009572130690568,0.8369237318402695,4.492420125007629,0.0033042430877685547,4.495724368095398,97.9
dynamic,Offline_AEGAfi,10,1.0,0.0,11.518799999999999,0.003599999999997471,0.6648756702041695,0.9044372934698413,4.544290542602539,0.001796388626098633,4.546086931228638,87.0
dynamic,Online_APF,10,1.0,0.0,11.403919667218258,0.0,0.8358564984494622,0.8698571394067475,0.0019278764724731446,0.0,0.0019278764724731446,92.0
open,Hybrid,10,1.0,0.0,11.548344326843353,0.035735855260376176,1.8345333449574752,0.606957746370524,3.9555235862731934,0.0025166034698486327,3.958040189743042,96.4
open,Offline_AEGAfi,10,1.0,0.0,11.512800000000002,0.02280701646423914,0.7648118069254732,0.5040220280013699,3.9918570041656496,0.0011715412139892579,3.9930285453796386,87.2
open,Online_APF,10,1.0,0.0,11.453288208813827,0.0,1.0905725729199838,0.39824570743331533,0.0024453163146972655,0.0,0.0024453163146972655,92.0
