mode,scenario,trial_id,success,collision,steps,path_length,path_smoothness,min_clearance,heading_stability,planning_cpu_time,execution_cpu_time,total_cpu_time,avg_planning_time_per_step,max_speed,avg_speed,ga_generations
Offline_AEGAfi,open,0,True,False,87,11.519999999999992,0.7629691260244543,0.5456483484879732,0.005209544365328464,4.599944114685059,0.001992940902709961,4.6019370555877686,0.05287292085844895,1.5,1.324137931034483,200
Offline_AEGAfi,open,1,True,False,87,11.520000000000003,0.9085199319816152,0.4745414401957999,0.007092593733745667,4.213349103927612,0.0012254714965820312,4.214574575424194,0.048429300045144966,1.5,1.3241379310344827,200
Offline_AEGAfi,open,2,True,False,88,11.482000000000001,0.6962443523931495,0.4713198660442116,0.003959746105921609,3.935152530670166,0.0010788440704345703,3.9362313747406006,0.04471764239397916,1.5,1.3047727272727272,200
Offline_AEGAfi,open,3,True,False,87,11.52,0.837148781194597,0.5717665601630637,0.005909687982271221,3.794968605041504,0.0010483264923095703,3.7960169315338135,0.04362032879358051,1.5,1.324137931034483,200
Offline_AEGAfi,open,4,True,False,87,11.520000000000003,0.8335825588052306,0.4874726687697444,0.006125687555710677,3.9569296836853027,0.0011200904846191406,3.958049774169922,0.045481950387187386,1.5,1.3241379310344827,200
Offline_AEGAfi,open,5,True,False,87,11.52,0.8201358689301239,0.5463018828526609,0.005859879169963963,3.889130115509033,0.0011112689971923828,3.8902413845062256,0.04470264500585096,1.5,1.324137931034483,200
Offline_AEGAfi,open,6,True,False,88,11.546000000000005,0.6842394906151311,0.5402734614980418,0.003505700796143538,4.222676038742065,0.0010406970977783203,4.223716735839844,0.04798495498570529,1.5,1.3120454545454547,200
Offline_AEGAfi,open,7,True,False,87,11.459999999999996,0.7496570938940781,0.5778605706173655,0.004706626790316333,3.806697130203247,0.0009944438934326172,3.8076915740966797,0.04375513942762353,1.5,1.317241379310345,200
Offline_AEGAfi,open,8,True,False,87,11.52,0.6441027882650407,0.4188985434791189,0.003324299025061108,3.778225898742676,0.0010139942169189453,3.7792398929595947,0.04342788389359398,1.5,1.3241379310344827,200
Offline_AEGAfi,open,9,True,False,87,11.520000000000005,0.7115180771513118,0.4061369379057186,0.0037791615135175124,3.721496820449829,0.001089334487915039,3.722586154937744,0.042775825522411826,1.5,1.3241379310344827,200
