mode,scenario,trial_id,success,collision,steps,path_length,path_smoothness,min_clearance,heading_stability,planning_cpu_time,avg_planning_time_per_step,max_speed,avg_speed
Online_APF,open,0,True,False,92,11.453288208813827,1.0905725729199838,0.39824570743331533,0.007684355886698671,0.003492593765258789,3.7962975709334664e-05,1.5,1.2449226313928072
Online_APF,open,1,True,False,92,11.453288208813827,1.0905725729199838,0.39824570743331533,0.007684355886698671,0.0025815963745117188,2.8060830157736074e-05,1.5,1.2449226313928072
Online_APF,open,2,True,False,92,11.453288208813827,1.0905725729199838,0.39824570743331533,0.007684355886698671,0.002003908157348633,2.17816104059634e-05,1.5,1.2449226313928072
Online_APF,open,3,True,False,92,11.453288208813827,1.0905725729199838,0.39824570743331533,0.007684355886698671,0.00264739990234375,2.877608589504076e-05,1.5,1.2449226313928072
Online_APF,open,4,True,False,92,11.453288208813827,1.0905725729199838,0.39824570743331533,0.007684355886698671,0.003204345703125,3.482984459918478e-05,1.5,1.2449226313928072
Online_APF,open,5,True,False,92,11.453288208813827,1.0905725729199838,0.39824570743331533,0.007684355886698671,0.002370119094848633,2.576216407444166e-05,1.5,1.2449226313928072
Online_APF,open,6,True,False,92,11.453288208813827,1.0905725729199838,0.39824570743331533,0.007684355886698671,0.002532482147216797,2.752697986105214e-05,1.5,1.2449226313928072
Online_APF,open,7,True,False,92,11.453288208813827,1.0905725729199838,0.39824570743331533,0.007684355886698671,0.0018115043640136719,1.9690264826235563e-05,1.5,1.2449226313928072
Online_APF,open,8,True,False,92,11.453288208813827,1.0905725729199838,0.39824570743331533,0.007684355886698671,0.0016489028930664062,1.7922857533330504e-05,1.5,1.2449226313928072
Online_APF,open,9,True,False,92,11.453288208813827,1.0905725729199838,0.39824570743331533,0.007684355886698671,0.002160310745239258,2.3481638535209324e-05,1.5,1.2449226313928072
