mode,scenario,trial_id,success,collision,steps,path_length,path_smoothness,min_clearance,heading_stability,planning_cpu_time,execution_cpu_time,total_cpu_time,avg_planning_time_per_step,max_speed,avg_speed
Hybrid,channel,0,True,False,101,11.40471074616902,0.7272157789519431,1.6376268035663193,0.0023254260671783803,20.09289813041687,0.0030243396759033203,20.095922470092773,0.19896952940685914,1.5,1.1291792817989135
Hybrid,channel,1,True,False,124,11.42418234027396,1.150547508967207,1.4168764956893036,0.003233325955116015,20.011382818222046,0.003550291061401367,20.014933109283447,0.16141075088131812,1.5,0.9213050274414487
Hybrid,channel,2,True,False,94,11.414221173146908,0.7265434616199333,1.572107704511152,0.003333657798905183,20.087455987930298,0.002665281295776367,20.090121269226074,0.21372469435346889,1.5,1.2142788482071183
Hybrid,channel,3,True,False,95,11.434496790357542,0.739811144637972,1.5909405610487166,0.0031647997318734037,20.114015579223633,0.006914377212524414,20.120929956436157,0.21179926269932797,1.5,1.203631241090267
Hybrid,channel,4,True,False,93,11.408140146233057,0.5989356718676764,1.7237664162540822,0.0010839123014274755,20.064430713653564,0.002615213394165039,20.06704592704773,0.21577468738761,1.5,1.2266817361540923
Hybrid,channel,5,True,False,92,11.406432274894302,0.6917093430235504,1.603258558144648,0.003242134333063774,20.00151228904724,0.0036211013793945312,20.005133390426636,0.21744710206985474,1.5,1.239829595097207
Hybrid,channel,6,True,False,101,11.418373306132853,0.845958399378107,1.4636182276885212,0.003928550192298192,20.01396107673645,0.003035306930541992,20.016996383666992,0.19818808300660387,1.5,1.1305320105082033
Hybrid,channel,7,True,False,97,11.406955302306091,0.6779093246726489,1.6677339558669986,0.002206356882050733,20.090265035629272,0.0033271312713623047,20.093592166900635,0.20715043471031583,1.5,1.1759747734336177
Hybrid,channel,8,True,False,98,11.448989248091184,0.8984197111906068,1.3034064747306273,0.004972488098644107,20.063935041427612,0.0030150413513183594,20.06695008277893,0.20476479676305032,1.5,1.168264208988896
Hybrid,channel,9,True,False,101,11.402602320476458,0.6997427583709424,1.7058400123728867,0.001402370856205479,20.014110565185547,0.003996133804321289,20.018106698989868,0.19819907622762245,1.5,1.1289705267798475
