mode,scenario,trial_id,success,collision,steps,path_length,path_smoothness,min_clearance,heading_stability,planning_cpu_time,execution_cpu_time,total_cpu_time,avg_planning_time_per_step,max_speed,avg_speed
Hybrid,clutter,0,True,False,109,12.948429605069375,4.137888621767386,0.4087673539554075,0.03719486749805898,10.913551807403564,0.0033791065216064453,10.916930913925171,0.10015532948555203,1.5,1.1879293215659972
Hybrid,clutter,1,True,False,109,12.948429605069375,4.137888621767386,0.4087673539554075,0.03719486749805898,11.781888008117676,0.003523588180541992,11.785411596298218,0.10812304216787355,1.5,1.1879293215659972
Hybrid,clutter,2,True,False,109,12.948429605069375,4.137888621767386,0.4087673539554075,0.03719486749805898,10.715830087661743,0.002496004104614258,10.718326091766357,0.09833326689693905,1.5,1.1879293215659972
Hybrid,clutter,3,True,False,109,12.948429605069375,4.137888621767386,0.4087673539554075,0.03719486749805898,11.693528652191162,0.002599954605102539,11.696128606796265,0.1073039321724428,1.5,1.1879293215659972
Hybrid,clutter,4,True,False,109,12.948429605069375,4.137888621767386,0.4087673539554075,0.03719486749805898,12.03365159034729,0.0024504661560058594,12.036102056503296,0.11042295464681923,1.5,1.1879293215659972
Hybrid,clutter,5,True,False,109,12.948429605069375,4.137888621767386,0.4087673539554075,0.03719486749805898,11.682132244110107,0.004312992095947266,11.686445236206055,0.10721509391014729,1.5,1.1879293215659972
Hybrid,clutter,6,True,False,109,12.948429605069375,4.137888621767386,0.4087673539554075,0.03719486749805898,11.234724283218384,0.0023419857025146484,11.237066268920898,0.10309235109101741,1.5,1.1879293215659972
Hybrid,clutter,7,True,False,109,12.948429605069375,4.137888621767386,0.4087673539554075,0.03719486749805898,11.004580974578857,0.004616498947143555,11.009197473526001,0.10100181168372478,1.5,1.1879293215659972
Hybrid,clutter,8,True,False,109,12.948429605069375,4.137888621767386,0.4087673539554075,0.03719486749805898,11.40604305267334,0.0026595592498779297,11.408702611923218,0.10466699643966255,1.5,1.1879293215659972
Hybrid,clutter,9,True,False,109,12.948429605069375,4.137888621767386,0.4087673539554075,0.03719486749805898,10.193228006362915,0.0033693313598632812,10.196597337722778,0.09354676456626403,1.5,1.1879293215659972
